n_test,n_classes,n_features,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,mcc,train_seconds,inference_seconds,inference_ms_per_1000,model_size_kb,minority_recall_mean,worst_class_recall,worst_class_label,roc_auc_ovr_macro,pr_auc_macro,pr_auc_weighted,run_id,task,model_name,imbalance,feature_strategy,top_k,alpha_lgbm,objective,rare_scope,rare_labels,rare_multiplier,validation_lgbm_train_seconds,validation_xgb_train_seconds
79999,34,46,0.9449868123351541,0.8779329341826125,0.8997483773752865,0.8779329341826125,0.8875398263203196,0.944345045203729,0.9422100111947309,68.8432230999997,5.5823498999998264,69.78024600307286,,0.5733333333333334,0.5538461538461539,Recon-PingSweep,0.997631727358292,0.9152320314490784,0.9722664020367456,fine_lgbm_xgb_rare_prior_macro_f1,fine,lgbm_xgb_probability_ensemble,borderline_smote_plus_class_weight,all,,0.5,macro_f1,lowest_support,"[""Uploading_Attack""]",1.0,113.10828179999999,114.84474939999973
79999,34,46,0.9447243090538632,0.8775160913377408,0.8875220586805407,0.8775160913377408,0.8802643916115271,0.9442459542215215,0.9419356238459038,68.8432230999997,5.5823498999998264,69.78024600307286,,0.6,0.5392156862745098,XSS,0.9976198917689644,0.9149259793217542,0.9722173220922689,fine_lgbm_xgb_rare_prior_macro_f1_plus_minority,fine,lgbm_xgb_probability_ensemble,borderline_smote_plus_class_weight,all,,0.5,macro_f1_plus_minority,lowest_support,"[""Uploading_Attack""]",4.0,113.10828179999999,114.84474939999973
79999,34,46,0.9445868073350917,0.8782522307988185,0.8864393032505351,0.8782522307988185,0.8787251757850142,0.9442768544881016,0.9417925818636783,68.8432230999997,5.5823498999998264,69.78024600307286,,0.64,0.5343137254901961,XSS,0.9976115299895248,0.9147372101653294,0.9721838689485279,fine_lgbm_xgb_rare_prior_recall_sensitive,fine,lgbm_xgb_probability_ensemble,borderline_smote_plus_class_weight,all,,0.5,recall_sensitive,lowest_support,"[""Uploading_Attack""]",6.0,113.10828179999999,114.84474939999973
79999,34,46,0.9445868073350917,0.8782522307988185,0.8864393032505351,0.8782522307988185,0.8787251757850142,0.9442768544881016,0.9417925818636783,68.8432230999997,5.5823498999998264,69.78024600307286,,0.64,0.5343137254901961,XSS,0.9976115299895248,0.9147372101653294,0.9721838689485279,fine_lgbm_xgb_rare_prior_minority_recall_constrained,fine,lgbm_xgb_probability_ensemble,borderline_smote_plus_class_weight,all,,0.5,minority_recall_constrained,lowest_support,"[""Uploading_Attack""]",6.0,113.10828179999999,114.84474939999973
