run_id,metric,mean_delta_vs_flat_lgbm,sd_delta,ci_low_2_5,ci_high_97_5,n_splits,bootstrap_reps
iotid_fine_lgbm_weighted,accuracy,-0.004666666666666708,0.0,-0.004666666666666708,-0.004666666666666708,1,200
iotid_fine_lgbm_xgb_validation_ensemble,accuracy,-0.004666666666666708,0.0,-0.004666666666666708,-0.004666666666666708,1,200
iotid_fine_xgb_weighted,accuracy,-0.005333333333333301,0.0,-0.005333333333333301,-0.005333333333333301,1,200
iotid_fine_lgbm_mi_top10_weighted,accuracy,-0.006000000000000005,0.0,-0.006000000000000005,-0.006000000000000005,1,200
iotid_fine_lgbm_xgb_validation_ensemble,balanced_accuracy,0.04267788107229331,0.0,0.04267788107229331,0.04267788107229331,1,200
iotid_fine_lgbm_mi_top10_weighted,balanced_accuracy,0.04006231870263921,0.0,0.04006231870263921,0.04006231870263921,1,200
iotid_fine_xgb_weighted,balanced_accuracy,0.03749696150594506,0.0,0.03749696150594506,0.03749696150594506,1,200
iotid_fine_lgbm_weighted,balanced_accuracy,0.033280482392513244,0.0,0.033280482392513244,0.033280482392513244,1,200
iotid_fine_lgbm_xgb_validation_ensemble,f1_macro,0.02034927360348049,0.0,0.02034927360348049,0.02034927360348049,1,200
iotid_fine_lgbm_mi_top10_weighted,f1_macro,0.01841571980130763,0.0,0.01841571980130763,0.01841571980130763,1,200
iotid_fine_xgb_weighted,f1_macro,0.017577483510727743,0.0,0.017577483510727743,0.017577483510727743,1,200
iotid_fine_lgbm_weighted,f1_macro,0.016342854080349745,0.0,0.016342854080349745,0.016342854080349745,1,200
iotid_fine_lgbm_mi_top10_weighted,minority_recall_mean,0.18867924528301888,0.0,0.18867924528301888,0.18867924528301888,1,200
iotid_fine_lgbm_xgb_validation_ensemble,minority_recall_mean,0.18867924528301888,0.0,0.18867924528301888,0.18867924528301888,1,200
iotid_fine_xgb_weighted,minority_recall_mean,0.15094339622641512,0.0,0.15094339622641512,0.15094339622641512,1,200
iotid_fine_lgbm_weighted,minority_recall_mean,0.11320754716981135,0.0,0.11320754716981135,0.11320754716981135,1,200
iotid_fine_xgb_weighted,pr_auc_macro,0.00566476034621155,0.0,0.00566476034621155,0.00566476034621155,1,200
iotid_fine_lgbm_xgb_validation_ensemble,pr_auc_macro,0.005234654780729375,0.0,0.005234654780729375,0.005234654780729375,1,200
iotid_fine_lgbm_mi_top10_weighted,pr_auc_macro,0.003433362678255447,0.0,0.003433362678255447,0.003433362678255447,1,200
iotid_fine_lgbm_weighted,pr_auc_macro,0.0006343256219348836,0.0,0.0006343256219348836,0.0006343256219348836,1,200
iotid_fine_xgb_weighted,worst_class_recall,0.13636363636363638,0.0,0.13636363636363638,0.13636363636363638,1,200
iotid_fine_lgbm_weighted,worst_class_recall,0.12121212121212119,0.0,0.12121212121212119,0.12121212121212119,1,200
iotid_fine_lgbm_mi_top10_weighted,worst_class_recall,0.10606060606060605,0.0,0.10606060606060605,0.10606060606060605,1,200
iotid_fine_lgbm_xgb_validation_ensemble,worst_class_recall,0.09848484848484848,0.0,0.09848484848484848,0.09848484848484848,1,200
