run_id,class_id,class_label,precision,recall,f1,support,holdout_device,task
nb_attack_lgbm_weighted__Danmini_Doorbell,0,ack,1.0,1.0,1.0,50000,Danmini_Doorbell,attack
nb_attack_lgbm_weighted__Danmini_Doorbell,1,benign,1.0,1.0,1.0,49548,Danmini_Doorbell,attack
nb_attack_lgbm_weighted__Danmini_Doorbell,2,combo,1.0,0.98736,0.9936398035584897,50000,Danmini_Doorbell,attack
nb_attack_lgbm_weighted__Danmini_Doorbell,3,junk,0.9787205387205388,1.0,0.9892458480805881,29068,Danmini_Doorbell,attack
nb_attack_lgbm_weighted__Danmini_Doorbell,4,scan,1.0,1.0,1.0,79849,Danmini_Doorbell,attack
nb_attack_lgbm_weighted__Danmini_Doorbell,5,syn,1.0,1.0,1.0,50000,Danmini_Doorbell,attack
nb_attack_lgbm_weighted__Danmini_Doorbell,6,tcp,0.9999799619276626,0.99808,0.9990290776237426,50000,Danmini_Doorbell,attack
nb_attack_lgbm_weighted__Danmini_Doorbell,7,udp,0.9990408536402602,0.99993,0.9994852290730625,100000,Danmini_Doorbell,attack
nb_attack_lgbm_weighted__Danmini_Doorbell,8,udpplain,0.9998800143982722,1.0,0.999940003599784,50000,Danmini_Doorbell,attack
nb_attack_lgbm_weighted__Ecobee_Thermostat,0,ack,0.9996401295533608,1.0,0.9998200323941691,50000,Ecobee_Thermostat,attack
nb_attack_lgbm_weighted__Ecobee_Thermostat,1,benign,0.9946901312296139,1.0,0.9973379981746273,13113,Ecobee_Thermostat,attack
nb_attack_lgbm_weighted__Ecobee_Thermostat,2,combo,1.0,0.99998,0.999989999899999,50000,Ecobee_Thermostat,attack
nb_attack_lgbm_weighted__Ecobee_Thermostat,3,junk,0.9999670108534292,1.0,0.9999835051546392,30312,Ecobee_Thermostat,attack
nb_attack_lgbm_weighted__Ecobee_Thermostat,4,scan,1.0,1.0,1.0,70686,Ecobee_Thermostat,attack
