cap_per_file,run_id,task,model_name,feature_strategy,top_k,folds,mean_macro_f1,min_macro_f1,mean_present_macro_f1,min_present_macro_f1,mean_minority_recall,mean_worst_class_recall,min_present_class_recall,mean_pr_auc_macro,mean_train_rows,mean_test_rows
5000,nb_attack_lgbm_importance_top40_weighted,attack,lgbm,importance,40.0,9,0.9192796555336575,0.8137481677707832,0.9348431486971518,0.8137481677707832,0.9247460317460318,0.5854222222222222,0.0014,0.965494253051842,395555.55555555556,49444.444444444445
5000,nb_attack_lgbm_mi_top40_weighted,attack,lgbm,mi,40.0,9,0.9324836789165091,0.8142597566136832,0.9324836789165091,0.8142597566136832,0.9219656084656085,0.5799444444444445,0.0014,0.9641902348944947,395555.55555555556,49444.444444444445
5000,nb_attack_lgbm_weighted,attack,lgbm,all,,9,0.9388327767693093,0.8526473714184148,0.9388327767693093,0.8526473714184147,0.9371507936507937,0.5921777777777778,0.0014,0.9651768036971912,395555.55555555556,49444.444444444445
20000,nb_attack_lgbm_weighted,attack,lgbm,all,,9,0.9434874213491522,0.7482593338254525,0.9867008209679402,0.9621279404186023,0.9869053372440033,0.8842666666666666,0.6917,0.9902002877858368,1575680.888888889,196960.11111111112
50000,nb_attack_lgbm_weighted,attack,lgbm,all,,9,0.9948198582765754,0.9855016954051912,0.9948198582765754,0.9855016954051912,0.9999388669529132,0.9539631872443444,0.87668,0.9959752475592091,3526728.888888889,440841.1111111111
5000,nb_binary_lgbm_weighted,binary,lgbm,all,,9,0.9832388274840547,0.8612873018724431,0.9832388274840547,0.8612873018724431,0.9976,0.9903000000000001,0.93552,,395555.55555555556,49444.444444444445
20000,nb_binary_lgbm_weighted,binary,lgbm,all,,9,0.9998471938771031,0.9992858354518276,0.9998471938771031,0.9992858354518277,0.999805227664293,0.9997752276642929,0.9989758295780418,,1575680.888888889,196960.11111111112
5000,nb_family_lgbm_weighted,family,lgbm,all,,9,0.9997837994509607,0.9992410317572128,0.9997837994509607,0.9992410317572128,0.9996666666666667,0.9994266666666667,0.99836,0.9999817510059709,395555.55555555556,49444.444444444445
20000,nb_family_lgbm_weighted,family,lgbm,all,,9,0.9999050768507796,0.9995304412555628,0.9999050768507796,0.9995304412555629,0.9998028699531157,0.9997506477308935,0.9989758295780418,0.9999999266072342,1575680.888888889,196960.11111111112
