run_id,class_label,mean_support,mean_precision,mean_recall,mean_f1,sd_recall,min_recall,flat_mean_recall,flat_mean_f1,top10_weighted_mean_recall,top10_weighted_mean_f1,delta_recall_top10_weighted_vs_flat,delta_f1_top10_weighted_vs_flat,model
iotid_fine_lgbm_full,DoS-Synflooding,17817.0,0.9998539789609806,0.9992198462142896,0.9995368050660873,0.00018605541360051855,0.9988774765673234,0.9992198462142896,0.9995368050660873,0.9991693326598192,0.9994638314310021,-5.05135544703883e-05,-7.297363508518284e-05,Flat LightGBM
iotid_fine_lgbm_mi_top10_flat,DoS-Synflooding,17817.0,0.9997978282078694,0.9991805578941462,0.9994890892339224,0.00015918914434665622,0.9988213503956896,0.9992198462142896,0.9995368050660873,0.9991693326598192,0.9994638314310021,-5.05135544703883e-05,-7.297363508518284e-05,Top ten flat LightGBM
iotid_fine_lgbm_mi_top10_weighted,DoS-Synflooding,17817.0,0.999758530431017,0.9991693326598192,0.9994638314310021,0.00018857799731877373,0.9987090980524218,0.9992198462142896,0.9995368050660873,0.9991693326598192,0.9994638314310021,-5.05135544703883e-05,-7.297363508518284e-05,Top ten weighted LightGBM
iotid_fine_lgbm_xgb_validation_ensemble,DoS-Synflooding,17817.0,0.9997641452541502,0.9991749452769826,0.9994694451509336,0.00019451675337146368,0.9987090980524218,0.9992198462142896,0.9995368050660873,0.9991693326598192,0.9994638314310021,-5.05135544703883e-05,-7.297363508518284e-05,Validation controlled ensemble
iotid_fine_xgb_weighted,DoS-Synflooding,17817.0,0.9997361158850836,0.9992086209799629,0.999472273121706,0.00020908620711980501,0.9987652242240556,0.9992198462142896,0.9995368050660873,0.9991693326598192,0.9994638314310021,-5.05135544703883e-05,-7.297363508518284e-05,Weighted XGBoost
iotid_fine_lgbm_full,MITM ARP Spoofing,10613.0,0.6819536024834616,0.46586262131348344,0.5535370705777012,0.004240152712206194,0.456704042212381,0.46586262131348344,0.5535370705777012,0.6700932818241779,0.5580360032015804,0.2042306605106945,0.004498932623879237,Flat LightGBM
iotid_fine_lgbm_mi_top10_flat,MITM ARP Spoofing,10613.0,0.6824167309760647,0.4612267973240365,0.5504055055627138,0.0032272410858292084,0.457269386601338,0.46586262131348344,0.5535370705777012,0.6700932818241779,0.5580360032015804,0.2042306605106945,0.004498932623879237,Top ten flat LightGBM
iotid_fine_lgbm_mi_top10_weighted,MITM ARP Spoofing,10613.0,0.4781004871720559,0.6700932818241779,0.5580360032015804,0.004714981158484222,0.6615471591444455,0.46586262131348344,0.5535370705777012,0.6700932818241779,0.5580360032015804,0.2042306605106945,0.004498932623879237,Top ten weighted LightGBM
iotid_fine_lgbm_xgb_validation_ensemble,MITM ARP Spoofing,10613.0,0.47748569111502465,0.6705926693677565,0.5577880504285301,0.004262011826212664,0.6637143126354471,0.46586262131348344,0.5535370705777012,0.6700932818241779,0.5580360032015804,0.2042306605106945,0.004498932623879237,Validation controlled ensemble
iotid_fine_xgb_weighted,MITM ARP Spoofing,10613.0,0.45734961284200126,0.6731272967115801,0.5446366464969911,0.0044580475505354026,0.6659756901912749,0.46586262131348344,0.5535370705777012,0.6700932818241779,0.5580360032015804,0.2042306605106945,0.004498932623879237,Weighted XGBoost
iotid_fine_lgbm_full,Mirai-Ackflooding,16537.0,0.2367723969357453,0.2161032835459878,0.2250719541889447,0.03856599751910412,0.154502025760416,0.2161032835459878,0.2250719541889447,0.5671282578460423,0.379373392119281,0.35102497430005447,0.1543014379303363,Flat LightGBM
iotid_fine_lgbm_mi_top10_flat,Mirai-Ackflooding,16537.0,0.2569504556254882,0.23332527060530928,0.24369241056724103,0.035304280488762343,0.1734897502569994,0.2161032835459878,0.2250719541889447,0.5671282578460423,0.379373392119281,0.35102497430005447,0.1543014379303363,Top ten flat LightGBM
