model,run_id,accuracy,balanced_accuracy,macro_f1,weighted_f1,minority_recall,worst_class_recall,pr_auc_macro,inference_ms_per_1000
Flat LightGBM,fine_lgbm_full,0.9461621046962592,0.8445912659707338,0.8611959509469154,0.9445232975147204,0.1910112359550561,0.1910112359550561,0.8862769998128076,161.2561802546593
Random oversampling LightGBM,fine_lgbm_random_over,0.9465293004745567,0.8439374096811861,0.8602494953021724,0.9449546887783506,0.2247191011235955,0.2247191011235955,0.8841410401397606,164.4668173917926
Borderline-SMOTE LightGBM,fine_lgbm_borderline_smote,0.947700829862459,0.8495226772997759,0.8673763269544469,0.946118244269037,0.2584269662921348,0.2584269662921348,0.8932601466864898,171.4960759011144
SMOTE LightGBM,fine_lgbm_smote,0.9468825078422528,0.8452261298903356,0.8622497198557757,0.9452908746997618,0.2097378277153558,0.2097378277153558,0.8901660580810052,159.57922266402215
Weighted XGBoost,fine_xgb_full_weighted,0.9358561431853708,0.8980576518897547,0.845264871487175,0.9406039342635651,0.6591760299625468,0.6378600823045267,0.9203079301787568,27.561455284296816
Validation-controlled ensemble,fine_lgbm_xgb_ensemble_macro_f1,0.9486205678595284,0.8883205055888225,0.8827602032560433,0.9483996921268688,0.5131086142322098,0.5131086142322098,0.9219413747093458,89.40855391308052
