n_test,n_classes,n_features,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,mcc,train_seconds,inference_seconds,inference_ms_per_1000,model_size_kb,minority_recall_mean,worst_class_recall,worst_class_label,roc_auc_ovr_macro,pr_auc_macro,pr_auc_weighted,run_id,task,model_name,imbalance,feature_strategy,top_k,alpha_lgbm,objective,validation_lgbm_train_seconds,validation_xgb_train_seconds
200000,34,46,0.947745,0.8878754516266245,0.8855202240945521,0.8878754516266245,0.8862426282720945,0.947375714758956,0.94511675362186,239.98687970000174,17.21160239999881,86.05801199999405,,0.5882352941176471,0.5764705882352941,XSS,0.9979828835551998,0.9193509145778131,0.974267225338281,fine_lgbm_xgb_ensemble_macro_f1,fine,lgbm_xgb_probability_ensemble,borderline_smote_plus_class_weight,all,,0.5,macro_f1,65.21404280000024,130.27621689999978
200000,34,46,0.947745,0.8878754516266245,0.8855202240945521,0.8878754516266245,0.8862426282720945,0.947375714758956,0.94511675362186,239.98687970000174,17.11738289999994,85.5869144999997,,0.5882352941176471,0.5764705882352941,XSS,0.9979828835551998,0.9193509145778131,0.974267225338281,fine_lgbm_xgb_ensemble_macro_f1_plus_minority,fine,lgbm_xgb_probability_ensemble,borderline_smote_plus_class_weight,all,,0.5,macro_f1_plus_minority,65.21404280000024,130.27621689999978
