model,run_id,n_splits,mean_macro_f1,sd_macro_f1,mean_balanced_accuracy,mean_minority_recall,sd_minority_recall,mean_pr_auc_macro,mean_train_seconds,mean_inference_ms_per_1000
Top ten weighted LightGBM,iotid_fine_lgbm_mi_top10_weighted,10,0.622194373007152,0.0020554011160685,0.6540100060942876,0.4820216281165515,0.0081438674236533,0.6799577646174564,8.283872049999626,18.37168434228951
Validation-controlled ensemble,iotid_fine_lgbm_xgb_validation_ensemble,10,0.6219629762486834,0.0021821038651295,0.6538367668698243,0.4819465304896365,0.0078357215635048,0.6799172046293951,26.397142309999985,12.549969478252995
Weighted LightGBM,iotid_fine_lgbm_weighted,10,0.6204184903872855,0.0014698440199838,0.6505272293488292,0.485340943226194,0.0074790600981312,0.6782220656531627,12.177885890000471,18.985254907184164
Weighted XGBoost,iotid_fine_xgb_weighted,10,0.6197818150110589,0.0013937284426691,0.6520660449781688,0.4823520576749774,0.0064915903073445,0.6775072294472191,18.62448149000084,6.584715370073182
Top ten flat LightGBM,iotid_fine_lgbm_mi_top10_flat,10,0.6112829350744151,0.0043017001942525,0.6005064978646729,0.2679182937819164,0.0030187211797769,0.681709837923376,8.080959070000608,18.32836088103121
Flat LightGBM,iotid_fine_lgbm_full,10,0.6081517399628378,0.0037312341644437,0.5972485804051606,0.2691048362871733,0.0029838538421032,0.6798427804015826,11.926662190000206,18.751399099796668
