run_id,class_id,class_label,precision,recall,f1,support,split_seed
iotid_fine_lgbm_full,0,DoS-Synflooding,0.9998315553060079,0.9994387382836617,0.9996351082044517,17817,42
iotid_fine_lgbm_full,1,MITM ARP Spoofing,0.6813521751177611,0.46339395081503815,0.5516235769166059,10613,42
iotid_fine_lgbm_full,2,Mirai-Ackflooding,0.2425531914893617,0.2516175848098204,0.24700225572836282,16537,42
iotid_fine_lgbm_full,3,Mirai-HTTP Flooding,0.25450625785975206,0.2537919503164935,0.254148602182688,16746,42
iotid_fine_lgbm_full,4,Mirai-Hostbruteforceg,0.659906804241358,0.7635198327556803,0.7079422566823097,36354,42
iotid_fine_lgbm_full,5,Mirai-UDP Flooding,0.8080174955577686,0.7514800421312606,0.7787239247640644,55066,42
iotid_fine_lgbm_full,6,Normal,0.9988853639715339,0.9690567293295624,0.9837449862782351,12022,42
iotid_fine_lgbm_full,7,Scan Hostport,0.7849798837729102,0.2637428657254431,0.3948285553681844,6658,42
iotid_fine_lgbm_full,8,Scan Port OS,0.4984315896300397,0.6786207762843863,0.5747340425531915,15922,42
iotid_fine_lgbm_weighted,0,DoS-Synflooding,0.9996631673496884,0.9994387382836617,0.9995509402189167,17817,42
iotid_fine_lgbm_weighted,1,MITM ARP Spoofing,0.47874080130825836,0.6620182794685763,0.5556566095931037,10613,42
iotid_fine_lgbm_weighted,2,Mirai-Ackflooding,0.2711858901484393,0.5048678720445062,0.3528442228044967,16537,42
iotid_fine_lgbm_weighted,3,Mirai-HTTP Flooding,0.25452416436022995,0.2855607309208169,0.2691506725952609,16746,42
iotid_fine_lgbm_weighted,4,Mirai-Hostbruteforceg,0.9192474528397054,0.5013203498927216,0.6488074047703809,36354,42
iotid_fine_lgbm_weighted,5,Mirai-UDP Flooding,0.999793270970076,0.702611411760433,0.8252634273281857,55066,42
iotid_fine_lgbm_weighted,6,Normal,0.997775876817793,0.9702212610214607,0.9838056680161943,12022,42
iotid_fine_lgbm_weighted,7,Scan Hostport,0.2808323464726781,0.4986482427155302,0.3593073593073593,6658,42
iotid_fine_lgbm_weighted,8,Scan Port OS,0.4792468796276708,0.7114056023112675,0.5726925702151326,15922,42
iotid_fine_lgbm_mi_top10_flat,0,DoS-Synflooding,0.9998315269276128,0.9992703597687602,0.9995508645856725,17817,42
iotid_fine_lgbm_mi_top10_flat,1,MITM ARP Spoofing,0.6763776281434657,0.4637708470743428,0.5502515371716042,10613,42
iotid_fine_lgbm_mi_top10_flat,2,Mirai-Ackflooding,0.2654012275517163,0.2823970490415432,0.2736354847215305,16537,42
iotid_fine_lgbm_mi_top10_flat,3,Mirai-HTTP Flooding,0.27688894079177856,0.2831721008001911,0.2799952763344355,16746,42
iotid_fine_lgbm_mi_top10_flat,4,Mirai-Hostbruteforceg,0.6580488501642623,0.7603564944710348,0.7055130168453293,36354,42
iotid_fine_lgbm_mi_top10_flat,5,Mirai-UDP Flooding,0.8236206999462804,0.7517524425235173,0.7860472623353936,55066,42
iotid_fine_lgbm_mi_top10_flat,6,Normal,0.9988000342847347,0.9693062718349692,0.9838321583857487,12022,42
iotid_fine_lgbm_mi_top10_flat,7,Scan Hostport,0.7851351351351351,0.26179032742565334,0.3926560036044154,6658,42
iotid_fine_lgbm_mi_top10_flat,8,Scan Port OS,0.4990585533869116,0.6825147594523301,0.5765445526169192,15922,42
iotid_fine_lgbm_mi_top10_weighted,0,DoS-Synflooding,0.9997192588433464,0.999326485940394,0.9995228338058214,17817,42
iotid_fine_lgbm_mi_top10_weighted,1,MITM ARP Spoofing,0.47410358565737054,0.6615471591444455,0.5523562268900952,10613,42
iotid_fine_lgbm_mi_top10_weighted,2,Mirai-Ackflooding,0.2824017726180445,0.5471971941706476,0.3725401399752985,16537,42
iotid_fine_lgbm_mi_top10_weighted,3,Mirai-HTTP Flooding,0.2701378603167369,0.2831721008001911,0.27650145772594753,16746,42
iotid_fine_lgbm_mi_top10_weighted,4,Mirai-Hostbruteforceg,0.9220607661822986,0.4992022886064807,0.6477264615604255,36354,42
iotid_fine_lgbm_mi_top10_weighted,5,Mirai-UDP Flooding,0.9998191074243481,0.702611411760433,0.8252722289175901,55066,42
iotid_fine_lgbm_mi_top10_weighted,6,Normal,0.9980314960629921,0.9699717185160539,0.9838015692229816,12022,42
iotid_fine_lgbm_mi_top10_weighted,7,Scan Hostport,0.2825767401642888,0.49083808951637126,0.35866761784557977,6658,42
iotid_fine_lgbm_mi_top10_weighted,8,Scan Port OS,0.4762881419781508,0.7146715236779299,0.5716223344133826,15922,42
iotid_fine_xgb_weighted,0,DoS-Synflooding,0.9996631862579993,0.9994948644552955,0.999579018270607,17817,42
iotid_fine_xgb_weighted,1,MITM ARP Spoofing,0.4534548020786553,0.6659756901912749,0.5395419847328244,10613,42
iotid_fine_xgb_weighted,2,Mirai-Ackflooding,0.2832227245038633,0.5341960452319042,0.37018102581294,16537,42
iotid_fine_xgb_weighted,3,Mirai-HTTP Flooding,0.2674482606781154,0.2901588439030216,0.2783410666208398,16746,42
iotid_fine_xgb_weighted,4,Mirai-Hostbruteforceg,0.9253289647518892,0.4816526379490565,0.6335365522730974,36354,42
iotid_fine_xgb_weighted,5,Mirai-UDP Flooding,0.9997157696183561,0.702611411760433,0.8252370236863715,55066,42
iotid_fine_xgb_weighted,6,Normal,0.9976851851851852,0.9679753784727999,0.9826057586760112,12022,42
iotid_fine_xgb_weighted,7,Scan Hostport,0.2845702082221036,0.4803244217482728,0.35739830129637906,6658,42
iotid_fine_xgb_weighted,8,Scan Port OS,0.4726164669311628,0.7257254113804799,0.5724406133115355,15922,42
iotid_fine_lgbm_xgb_validation_ensemble,0,DoS-Synflooding,0.9997754070746772,0.9993826121120278,0.9995789710051366,17817,42
iotid_fine_lgbm_xgb_validation_ensemble,1,MITM ARP Spoofing,0.4720863212921386,0.6637143126354471,0.5517349416464322,10613,42
iotid_fine_lgbm_xgb_validation_ensemble,2,Mirai-Ackflooding,0.28059814023624025,0.540122150329564,0.3693274618040481,16537,42
iotid_fine_lgbm_xgb_validation_ensemble,3,Mirai-HTTP Flooding,0.26480541455160744,0.2803654604084557,0.2723633832231117,16746,42
iotid_fine_lgbm_xgb_validation_ensemble,4,Mirai-Hostbruteforceg,0.9253975558623511,0.49782692413489577,0.6473860242170593,36354,42
iotid_fine_lgbm_xgb_validation_ensemble,5,Mirai-UDP Flooding,0.9998191074243481,0.702611411760433,0.8252722289175901,55066,42
iotid_fine_lgbm_xgb_validation_ensemble,6,Normal,0.9986297850475293,0.9699717185160539,0.984092155787164,12022,42
iotid_fine_lgbm_xgb_validation_ensemble,7,Scan Hostport,0.2840779924805456,0.4879843796936017,0.3591047250621719,6658,42
iotid_fine_lgbm_xgb_validation_ensemble,8,Scan Port OS,0.47557530946249066,0.7190679562868987,0.5725072507250725,15922,42
iotid_fine_lgbm_full,0,DoS-Synflooding,0.9998314890748751,0.9990458550822249,0.9994385176866929,17817,43
iotid_fine_lgbm_full,1,MITM ARP Spoofing,0.6765824504210812,0.469330066899086,0.5542141863699582,10613,43
iotid_fine_lgbm_full,2,Mirai-Ackflooding,0.23129533678756475,0.2024551006833162,0.21591641945053527,16537,43
iotid_fine_lgbm_full,3,Mirai-HTTP Flooding,0.2631080725742835,0.29875791233727456,0.27980201895920137,16746,43
iotid_fine_lgbm_full,4,Mirai-Hostbruteforceg,0.6556630221474629,0.7719920779006437,0.7090881528083074,36354,43
iotid_fine_lgbm_full,5,Mirai-UDP Flooding,0.8049568548543126,0.7555478879889587,0.7794701738609112,55066,43
iotid_fine_lgbm_full,6,Normal,0.9988851727982163,0.9688903676592913,0.9836591648017565,12022,43
iotid_fine_lgbm_full,7,Scan Hostport,0.7990282685512368,0.27170321417843196,0.4055144586415602,6658,43
iotid_fine_lgbm_full,8,Scan Port OS,0.5070408903943866,0.6580831553824896,0.5727717495285211,15922,43
iotid_fine_lgbm_weighted,0,DoS-Synflooding,0.9998314890748751,0.9990458550822249,0.9994385176866929,17817,43
iotid_fine_lgbm_weighted,1,MITM ARP Spoofing,0.47512967149886953,0.6732309431828889,0.5570932907099139,10613,43
iotid_fine_lgbm_weighted,2,Mirai-Ackflooding,0.2720860156142994,0.4804982765918849,0.34743446798277255,16537,43
iotid_fine_lgbm_weighted,3,Mirai-HTTP Flooding,0.2494768092665596,0.306102949958199,0.27490413750569814,16746,43
iotid_fine_lgbm_weighted,4,Mirai-Hostbruteforceg,0.9212598425196851,0.5052813995708862,0.6526211074201055,36354,43
iotid_fine_lgbm_weighted,5,Mirai-UDP Flooding,0.9998966701971016,0.7029201322049904,0.8255115859965664,55066,43
iotid_fine_lgbm_weighted,6,Normal,0.9969217614365113,0.9698053568457827,0.9831766243622718,12022,43
iotid_fine_lgbm_weighted,7,Scan Hostport,0.2849841381741276,0.485731450886152,0.35921359546817727,6658,43
iotid_fine_lgbm_weighted,8,Scan Port OS,0.482771855010661,0.7110287652304986,0.5750787361576755,15922,43
iotid_fine_lgbm_mi_top10_flat,0,DoS-Synflooding,0.9998314890748751,0.9990458550822249,0.9994385176866929,17817,43
iotid_fine_lgbm_mi_top10_flat,1,MITM ARP Spoofing,0.6788211103495545,0.46659756901912747,0.5530489166852803,10613,43
iotid_fine_lgbm_mi_top10_flat,2,Mirai-Ackflooding,0.2538344617935609,0.22216847070206205,0.23694817967817872,16537,43
iotid_fine_lgbm_mi_top10_flat,3,Mirai-HTTP Flooding,0.2745507060333761,0.30652096022930847,0.2896563399356695,16746,43
iotid_fine_lgbm_mi_top10_flat,4,Mirai-Hostbruteforceg,0.653490603571345,0.7680860428013424,0.7061694675214648,36354,43
iotid_fine_lgbm_mi_top10_flat,5,Mirai-UDP Flooding,0.8087765240497554,0.7627755783968329,0.7851028037383178,55066,43
iotid_fine_lgbm_mi_top10_flat,6,Normal,0.998885077186964,0.9688071868241557,0.9836162486276497,12022,43
iotid_fine_lgbm_mi_top10_flat,7,Scan Hostport,0.7938325991189428,0.2706518474016221,0.403673835125448,6658,43
iotid_fine_lgbm_mi_top10_flat,8,Scan Port OS,0.5057966848711315,0.6631076497927396,0.573866724643983,15922,43
iotid_fine_lgbm_mi_top10_weighted,0,DoS-Synflooding,0.999831498539654,0.9991019812538586,0.9994666067769012,17817,43
iotid_fine_lgbm_mi_top10_weighted,1,MITM ARP Spoofing,0.4744207847863935,0.6675774992933196,0.5546639527146044,10613,43
iotid_fine_lgbm_mi_top10_weighted,2,Mirai-Ackflooding,0.28527939385739415,0.5100078611598234,0.3658922799939264,16537,43
iotid_fine_lgbm_mi_top10_weighted,3,Mirai-HTTP Flooding,0.26223306287022746,0.31458258688642066,0.2860323062304873,16746,43
iotid_fine_lgbm_mi_top10_weighted,4,Mirai-Hostbruteforceg,0.9199959847420197,0.50420861528305,0.6514090763708732,36354,43
iotid_fine_lgbm_mi_top10_weighted,5,Mirai-UDP Flooding,0.9997933617460932,0.7029201322049904,0.8254763758117316,55066,43
iotid_fine_lgbm_mi_top10_weighted,6,Normal,0.9972621492128679,0.969555814340376,0.9832138338253902,12022,43
iotid_fine_lgbm_mi_top10_weighted,7,Scan Hostport,0.28430237734841063,0.47957344547912284,0.3569791491978311,6658,43
