run_id,metric,mean_delta_vs_flat_lgbm,sd_delta,ci_low_2_5,ci_high_97_5,n_splits,bootstrap_reps
iotid_fine_lgbm_mi_top10_flat,accuracy,0.003824539909979485,0.0007818602284756693,0.0033871813993128644,0.004303952379684124,10,10000
iotid_fine_lgbm_mi_top10_weighted,accuracy,-0.01380349961381736,0.0012145977761650812,-0.014457613124883483,-0.013033797640290857,10,10000
iotid_fine_lgbm_xgb_validation_ensemble,accuracy,-0.01398354062907824,0.0014153075233695976,-0.014775095213998465,-0.013109422856686296,10,10000
iotid_fine_lgbm_weighted,accuracy,-0.01639385303752631,0.0010740376607356636,-0.0170341172397262,-0.015776493461528242,10,10000
iotid_fine_xgb_weighted,accuracy,-0.01727594747915946,0.0008910798697208663,-0.017804897861347122,-0.016751777771859273,10,10000
iotid_fine_lgbm_mi_top10_weighted,balanced_accuracy,0.056761425689127065,0.003972357877041407,0.05455169272284475,0.05918501915563788,10,10000
iotid_fine_lgbm_xgb_validation_ensemble,balanced_accuracy,0.05658818646466372,0.004207181609669113,0.05421760626977666,0.0591276054220249,10,10000
iotid_fine_xgb_weighted,balanced_accuracy,0.05481746457300819,0.003786725168144807,0.052678946804188026,0.05715435827847348,10,10000
iotid_fine_lgbm_weighted,balanced_accuracy,0.05327864894366864,0.0038062963828284337,0.05113728160128598,0.055633773726877694,10,10000
iotid_fine_lgbm_mi_top10_flat,balanced_accuracy,0.0032579174595123274,0.002064608742938765,0.0020523728982374417,0.0044773635629688615,10,10000
iotid_fine_lgbm_mi_top10_weighted,f1_macro,0.014042633044314213,0.00411177064761803,0.01169686283723103,0.016452418185865143,10,10000
iotid_fine_lgbm_xgb_validation_ensemble,f1_macro,0.013811236285845541,0.004251290455653949,0.011371332653333899,0.01630318307541871,10,10000
iotid_fine_lgbm_weighted,f1_macro,0.012266750424447725,0.0036859991419053236,0.01019757525851386,0.014445459193091972,10,10000
iotid_fine_xgb_weighted,f1_macro,0.011630075048221156,0.0038671885905139963,0.009439696544259349,0.013922694139226225,10,10000
iotid_fine_lgbm_mi_top10_flat,f1_macro,0.0031311951115772898,0.0018745578214043736,0.0020372073726121535,0.00424893854764103,10,10000
iotid_fine_lgbm_weighted,minority_recall_mean,0.2162361069390207,0.008291494491630795,0.21166979573445474,0.22143323820967256,10,10000
iotid_fine_xgb_weighted,minority_recall_mean,0.2132472213878041,0.005453556367875146,0.20992790627816155,0.21628116551516968,10,10000
iotid_fine_lgbm_mi_top10_weighted,minority_recall_mean,0.21291679182937817,0.008723745818830791,0.20753942625413035,0.21779813757885252,10,10000
iotid_fine_lgbm_xgb_validation_ensemble,minority_recall_mean,0.21284169420246318,0.008193086468922552,0.2076749774707119,0.21728747371583063,10,10000
iotid_fine_lgbm_mi_top10_flat,minority_recall_mean,-0.001186542505256849,0.0007834825840417457,-0.00166716731751278,-0.0007509762691499166,10,10000
iotid_fine_lgbm_mi_top10_flat,pr_auc_macro,0.0018670575217933582,0.0005187203340674396,0.0015734820553725977,0.0021847394451452694,10,10000
iotid_fine_lgbm_mi_top10_weighted,pr_auc_macro,0.00011498421587372576,0.0005278942933047251,-0.00018855098382095813,0.0004309114912204078,10,10000
iotid_fine_lgbm_xgb_validation_ensemble,pr_auc_macro,7.442422781239744e-05,0.0005033231261066261,-0.00021204478269428728,0.0003758851031312529,10,10000
iotid_fine_lgbm_weighted,pr_auc_macro,-0.0016207147484199823,0.00029695962876158654,-0.0017821250124322886,-0.0014337301443843238,10,10000
iotid_fine_xgb_weighted,pr_auc_macro,-0.0023355509543635635,0.0005589322183019405,-0.0026921792709334973,-0.0020508923067853713,10,10000
iotid_fine_xgb_weighted,worst_class_recall,0.09581590275749124,0.0452725814343133,0.0706977696456937,0.12342275854915118,10,10000
iotid_fine_lgbm_weighted,worst_class_recall,0.0705382245059685,0.05462001006409446,0.040998239972337695,0.10386481205722478,10,10000
iotid_fine_lgbm_mi_top10_weighted,worst_class_recall,0.06466816598453054,0.059932268715437616,0.03132700861285537,0.10092749965386383,10,10000
iotid_fine_lgbm_xgb_validation_ensemble,worst_class_recall,0.06254228517717356,0.059852086802344044,0.029046512600746078,0.0991996920202558,10,10000
iotid_fine_lgbm_mi_top10_flat,worst_class_recall,0.015600735380561507,0.009320461435273904,0.009871064725715506,0.020661633330070647,10,10000
